Number,a,b
297513,1.15925,-0.73816
298201,0.95054,0.2737
284914,0.91646,-1.09761
296084,0.6863,-0.13547
287508,0.98101,0.00703
301684,0.78896,0.31079
307421,1.11077,0.99418
307389,0.75808,0.26283
289831,0.87918,-0.21637
219567,0.75336,-0.11663
307563,0.9711,0.86488
297520,1.26032,1.06974
307512,0.6115,0.49866
228313,0.94918,-0.90865
303341,0.9221,-0.88164
303787,0.81641,-1.04179
253764,0.94927,0.20036
297649,0.6963,-0.66953
297660,0.61279,-0.43259
253742,1.57088,0.90328
228148,0.96559,1.25242
307537,0.88529,1.41157
229570,1.23009,0.33589
297650,0.94384,1.6202
307539,0.9918,1.25248
287601,1.12939,0.1512
307587,1.32613,0.43855
301683,1.09647,1.25423
284198,0.78938,-0.34647
301697,0.79262,0.25557
287762,1.55121,0.99096
301685,1.18333,1.05902
301479,0.68636,0.52078
296119,0.97216,-0.56224
307400,1.04393,-0.42373
296753,0.77612,-0.51586
301708,1.25073,-0.24204
307546,1.0252,-1.07639
